[Mon Feb 10 03:32:08 2025], step 0: train loss, -nan, (took 11015.543266 ms)
[Mon Feb 10 03:47:27 2025], step 41: train loss, 88.634323, (took 11486.273411 ms)
[Mon Feb 10 03:47:38 2025], step 42: train loss, inf, (took 11186.411626 ms)
[Mon Feb 10 03:47:50 2025], step 43: train loss, inf, (took 11308.778405 ms)
[Mon Feb 10 03:48:02 2025], step 44: train loss, inf, (took 11144.798835 ms)
[Mon Feb 10 03:48:13 2025], step 45: train loss, inf, (took 11141.940193 ms)
[Mon Feb 10 03:48:25 2025], step 46: train loss, inf, (took 11201.677564 ms)
[Mon Feb 10 03:48:36 2025], step 47: train loss, inf, (took 11139.397408 ms)
[Mon Feb 10 03:48:48 2025], step 48: train loss, inf, (took 11193.664901 ms)
[Mon Feb 10 03:49:00 2025], step 49: train loss, inf, (took 11141.451877 ms)
[Mon Feb 10 03:49:25 2025], step 50: train loss, inf, (took 11174.626949 ms)
[Mon Feb 10 03:49:38 2025], step 51: train loss, inf, (took 11182.059249 ms)
[Mon Feb 10 03:49:49 2025], step 52: train loss, inf, (took 11226.849016 ms)
[Mon Feb 10 03:50:00 2025], step 53: train loss, inf, (took 11443.939206 ms)
[Mon Feb 10 03:50:13 2025], step 54: train loss, inf, (took 11494.765337 ms)
[Mon Feb 10 03:50:25 2025], step 55: train loss, inf, (took 11965.858101 ms)
[Mon Feb 10 03:50:37 2025], step 56: train loss, inf, (took 11925.543733 ms)
[Mon Feb 10 03:50:49 2025], step 57: train loss, 88.643929, (took 11544.397422 ms)
[Mon Feb 10 03:51:01 2025], step 58: train loss, inf, (took 11821.736713 ms)
[Mon Feb 10 03:51:14 2025], step 59: train loss, inf, (took 11521.387399 ms)
[Mon Feb 10 03:55:43 2025], step 60: train loss, inf, (took 245211.970633 ms)
[Mon Feb 10 03:56:43 2025], step 61: train loss, inf, (took 59426.479771 ms)
[Mon Feb 10 03:56:55 2025], step 62: train loss, inf, (took 11238.344134 ms)
[Mon Feb 10 03:57:07 2025], step 63: train loss, inf, (took 11194.137410 ms)
[Mon Feb 10 03:57:19 2025], step 64: train loss, inf, (took 11396.226892 ms)
[Mon Feb 10 03:57:31 2025], step 65: train loss, inf, (took 11699.398813 ms)
[Mon Feb 10 03:57:42 2025], step 66: train loss, inf, (took 11407.043425 ms)
[Mon Feb 10 03:57:55 2025], step 67: train loss, inf, (took 12197.226334 ms)
[Mon Feb 10 03:58:07 2025], step 68: train loss, inf, (took 11239.211111 ms)
[Mon Feb 10 03:58:18 2025], step 69: train loss, inf, (took 11485.158363 ms)
[Mon Feb 10 04:02:42 2025], step 70: train loss, inf, (took 240441.344114 ms)
[Mon Feb 10 04:03:27 2025], step 71: train loss, inf, (took 43277.770175 ms)
[Mon Feb 10 04:03:39 2025], step 72: train loss, inf, (took 11163.610582 ms)
[Mon Feb 10 04:03:50 2025], step 73: train loss, inf, (took 11095.055299 ms)
[Mon Feb 10 04:04:02 2025], step 74: train loss, inf, (took 11397.687408 ms)
[Mon Feb 10 04:04:14 2025], step 75: train loss, inf, (took 11252.446161 ms)
[Mon Feb 10 04:04:25 2025], step 76: train loss, inf, (took 11789.320285 ms)
[Mon Feb 10 04:04:38 2025], step 77: train loss, inf, (took 11797.935390 ms)
[Mon Feb 10 04:04:50 2025], step 78: train loss, 88.377884, (took 11282.942771 ms)
[Mon Feb 10 04:05:01 2025], step 79: train loss, inf, (took 11379.255724 ms)
[Mon Feb 10 04:05:31 2025], step 80: train loss, inf, (took 11734.003226 ms)
[Mon Feb 10 04:05:43 2025], step 81: train loss, inf, (took 11524.582206 ms)
[Mon Feb 10 04:05:54 2025], step 82: train loss, inf, (took 11065.513117 ms)
[Mon Feb 10 04:06:06 2025], step 83: train loss, inf, (took 11220.499380 ms)
[Mon Feb 10 04:06:18 2025], step 84: train loss, inf, (took 11436.891829 ms)
[Mon Feb 10 04:06:30 2025], step 85: train loss, inf, (took 11529.432385 ms)
[Mon Feb 10 04:06:41 2025], step 86: train loss, inf, (took 11199.349174 ms)
[Mon Feb 10 04:06:53 2025], step 87: train loss, inf, (took 11237.172007 ms)
[Mon Feb 10 04:07:04 2025], step 88: train loss, inf, (took 11016.157522 ms)
[Mon Feb 10 04:07:15 2025], step 89: train loss, inf, (took 11328.623018 ms)
[Mon Feb 10 04:07:42 2025], step 90: train loss, inf, (took 11138.113724 ms)
[Mon Feb 10 04:07:54 2025], step 91: train loss, inf, (took 11383.199342 ms)
[Mon Feb 10 04:08:05 2025], step 92: train loss, inf, (took 11011.536072 ms)
[Mon Feb 10 04:08:17 2025], step 93: train loss, inf, (took 11375.530445 ms)
[Mon Feb 10 04:08:29 2025], step 94: train loss, inf, (took 11562.586880 ms)
[Mon Feb 10 04:08:40 2025], step 95: train loss, inf, (took 10922.717448 ms)
[Mon Feb 10 04:08:52 2025], step 96: train loss, inf, (took 11405.005251 ms)
[Mon Feb 10 04:09:04 2025], step 97: train loss, inf, (took 11215.926759 ms)
[Mon Feb 10 04:09:15 2025], step 98: train loss, inf, (took 11004.772969 ms)
[Mon Feb 10 04:09:26 2025], step 99: train loss, inf, (took 11364.351988 ms)
[Mon Feb 10 04:09:53 2025], step 100: train loss, inf, (took 11574.912707 ms)
[Mon Feb 10 04:10:05 2025], step 101: train loss, inf, (took 11661.468871 ms)
[Mon Feb 10 04:10:16 2025], step 102: train loss, inf, (took 10835.544414 ms)
[Mon Feb 10 04:10:28 2025], step 103: train loss, inf, (took 11659.382463 ms)
[Mon Feb 10 04:10:40 2025], step 104: train loss, inf, (took 11795.026849 ms)
[Mon Feb 10 04:10:51 2025], step 105: train loss, inf, (took 10956.644506 ms)
[Mon Feb 10 04:11:03 2025], step 106: train loss, inf, (took 11534.906911 ms)
[Mon Feb 10 04:11:15 2025], step 107: train loss, inf, (took 11322.211824 ms)
[Mon Feb 10 04:11:26 2025], step 108: train loss, inf, (took 11133.940301 ms)
[Mon Feb 10 04:11:37 2025], step 109: train loss, inf, (took 11430.113014 ms)
[Mon Feb 10 04:12:04 2025], step 110: train loss, inf, (took 11584.457718 ms)
[Mon Feb 10 04:12:16 2025], step 111: train loss, inf, (took 11623.526405 ms)
[Mon Feb 10 04:12:28 2025], step 112: train loss, inf, (took 11458.767731 ms)
[Mon Feb 10 04:12:40 2025], step 113: train loss, inf, (took 12100.553446 ms)
[Mon Feb 10 04:12:51 2025], step 114: train loss, inf, (took 11431.833148 ms)
[Mon Feb 10 04:13:02 2025], step 115: train loss, inf, (took 10794.809103 ms)
[Mon Feb 10 04:13:14 2025], step 116: train loss, inf, (took 11741.169702 ms)
[Mon Feb 10 04:13:26 2025], step 117: train loss, inf, (took 11552.644932 ms)
[Mon Feb 10 04:13:37 2025], step 118: train loss, inf, (took 11211.653845 ms)
[Mon Feb 10 04:13:48 2025], step 119: train loss, 88.611465, (took 11435.885984 ms)
[Mon Feb 10 04:14:15 2025], step 120: train loss, inf, (took 11474.817911 ms)
[Mon Feb 10 04:14:27 2025], step 121: train loss, inf, (took 11342.179409 ms)
[Mon Feb 10 04:14:39 2025], step 122: train loss, inf, (took 11570.400093 ms)
[Mon Feb 10 04:14:50 2025], step 123: train loss, inf, (took 11330.654957 ms)
[Mon Feb 10 04:15:02 2025], step 124: train loss, inf, (took 11427.114574 ms)
[Mon Feb 10 04:15:15 2025], step 125: train loss, inf, (took 12339.666903 ms)
[Mon Feb 10 04:15:26 2025], step 126: train loss, inf, (took 11454.216426 ms)
[Mon Feb 10 04:15:38 2025], step 127: train loss, inf, (took 11286.147546 ms)
[Mon Feb 10 04:15:49 2025], step 128: train loss, inf, (took 11236.979579 ms)
[Mon Feb 10 04:16:00 2025], step 129: train loss, inf, (took 11325.346797 ms)
[Mon Feb 10 04:16:27 2025], step 130: train loss, inf, (took 11218.923032 ms)
[Mon Feb 10 04:16:39 2025], step 131: train loss, inf, (took 11655.458578 ms)
[Mon Feb 10 04:16:51 2025], step 132: train loss, inf, (took 11161.166622 ms)
[Mon Feb 10 04:17:02 2025], step 133: train loss, inf, (took 11395.152753 ms)
[Mon Feb 10 04:17:14 2025], step 134: train loss, inf, (took 11245.764699 ms)
[Mon Feb 10 04:17:25 2025], step 135: train loss, inf, (took 11190.944645 ms)
[Mon Feb 10 04:17:36 2025], step 136: train loss, inf, (took 11370.220485 ms)
[Mon Feb 10 04:17:48 2025], step 137: train loss, inf, (took 11234.281780 ms)
[Mon Feb 10 04:18:00 2025], step 138: train loss, inf, (took 11214.856195 ms)
[Mon Feb 10 04:18:11 2025], step 139: train loss, inf, (took 11333.518992 ms)
[Mon Feb 10 04:18:39 2025], step 140: train loss, inf, (took 11551.396186 ms)
[Mon Feb 10 04:18:51 2025], step 141: train loss, inf, (took 11450.284345 ms)
[Mon Feb 10 04:19:02 2025], step 142: train loss, inf, (took 11229.506941 ms)
[Mon Feb 10 04:19:13 2025], step 143: train loss, inf, (took 11251.625988 ms)
[Mon Feb 10 04:19:25 2025], step 144: train loss, inf, (took 11256.000504 ms)
[Mon Feb 10 04:19:36 2025], step 145: train loss, inf, (took 11024.348333 ms)
[Mon Feb 10 04:19:48 2025], step 146: train loss, inf, (took 11283.411561 ms)
[Mon Feb 10 04:20:00 2025], step 147: train loss, inf, (took 11355.849764 ms)
[Mon Feb 10 04:20:11 2025], step 148: train loss, inf, (took 11337.465610 ms)
[Mon Feb 10 04:20:23 2025], step 149: train loss, inf, (took 11364.897938 ms)
[Mon Feb 10 04:20:49 2025], step 150: train loss, inf, (took 11272.277383 ms)
[Mon Feb 10 04:21:01 2025], step 151: train loss, inf, (took 11250.734833 ms)
[Mon Feb 10 04:21:13 2025], step 152: train loss, inf, (took 11269.342059 ms)
[Mon Feb 10 04:21:24 2025], step 153: train loss, inf, (took 11103.300707 ms)
[Mon Feb 10 04:21:36 2025], step 154: train loss, inf, (took 11251.056351 ms)
[Mon Feb 10 04:21:47 2025], step 155: train loss, inf, (took 11089.906584 ms)
[Mon Feb 10 04:21:58 2025], step 156: train loss, inf, (took 11174.426137 ms)
[Mon Feb 10 04:22:10 2025], step 157: train loss, inf, (took 11233.576318 ms)
[Mon Feb 10 04:22:22 2025], step 158: train loss, inf, (took 11090.827195 ms)
[Mon Feb 10 04:22:33 2025], step 159: train loss, inf, (took 11345.571462 ms)
[Mon Feb 10 04:23:00 2025], step 160: train loss, inf, (took 10883.833441 ms)
[Mon Feb 10 04:23:11 2025], step 161: train loss, inf, (took 11233.219613 ms)
[Mon Feb 10 04:23:23 2025], step 162: train loss, inf, (took 11266.686313 ms)
[Mon Feb 10 04:23:34 2025], step 163: train loss, inf, (took 11007.213215 ms)
[Mon Feb 10 04:23:45 2025], step 164: train loss, inf, (took 11243.773306 ms)
[Mon Feb 10 04:23:58 2025], step 165: train loss, inf, (took 11203.640543 ms)
[Mon Feb 10 04:24:09 2025], step 166: train loss, inf, (took 11203.999865 ms)
[Mon Feb 10 04:24:21 2025], step 167: train loss, inf, (took 11298.193081 ms)
[Mon Feb 10 04:24:32 2025], step 168: train loss, inf, (took 11158.501534 ms)
[Mon Feb 10 04:24:43 2025], step 169: train loss, inf, (took 11222.200183 ms)
[Mon Feb 10 04:25:10 2025], step 170: train loss, inf, (took 10950.472507 ms)
[Mon Feb 10 04:25:22 2025], step 171: train loss, inf, (took 11346.899865 ms)
[Mon Feb 10 04:25:34 2025], step 172: train loss, inf, (took 11416.446329 ms)
[Mon Feb 10 04:25:45 2025], step 173: train loss, inf, (took 11286.668017 ms)
[Mon Feb 10 04:25:56 2025], step 174: train loss, inf, (took 11227.156782 ms)
[Mon Feb 10 04:26:08 2025], step 175: train loss, inf, (took 11389.655457 ms)
[Mon Feb 10 04:26:20 2025], step 176: train loss, inf, (took 11191.691025 ms)
[Mon Feb 10 04:26:31 2025], step 177: train loss, inf, (took 11213.019892 ms)
[Mon Feb 10 04:26:43 2025], step 178: train loss, inf, (took 11340.953277 ms)
[Mon Feb 10 04:26:54 2025], step 179: train loss, inf, (took 11307.612246 ms)
[Mon Feb 10 04:27:21 2025], step 180: train loss, inf, (took 11216.643552 ms)
[Mon Feb 10 04:27:32 2025], step 181: train loss, inf, (took 11219.701231 ms)
[Mon Feb 10 04:27:44 2025], step 182: train loss, inf, (took 11191.811858 ms)
[Mon Feb 10 04:27:55 2025], step 183: train loss, inf, (took 11298.168532 ms)
[Mon Feb 10 04:28:07 2025], step 184: train loss, inf, (took 11239.232555 ms)
[Mon Feb 10 04:28:19 2025], step 185: train loss, inf, (took 11243.994832 ms)
[Mon Feb 10 04:28:30 2025], step 186: train loss, inf, (took 11227.915058 ms)
[Mon Feb 10 04:28:41 2025], step 187: train loss, inf, (took 11476.740151 ms)
[Mon Feb 10 04:28:53 2025], step 188: train loss, inf, (took 11325.610735 ms)
[Mon Feb 10 04:29:05 2025], step 189: train loss, inf, (took 11547.394305 ms)
[Mon Feb 10 04:29:32 2025], step 190: train loss, inf, (took 11231.016828 ms)
[Mon Feb 10 04:29:43 2025], step 191: train loss, inf, (took 11309.376011 ms)
[Mon Feb 10 04:29:55 2025], step 192: train loss, inf, (took 11299.097775 ms)
[Mon Feb 10 04:30:06 2025], step 193: train loss, inf, (took 11275.340122 ms)
[Mon Feb 10 04:30:18 2025], step 194: train loss, inf, (took 11525.504058 ms)
[Mon Feb 10 04:30:30 2025], step 195: train loss, inf, (took 11263.566700 ms)
[Mon Feb 10 04:30:41 2025], step 196: train loss, inf, (took 11227.859390 ms)
[Mon Feb 10 04:30:52 2025], step 197: train loss, inf, (took 11224.450934 ms)
[Mon Feb 10 04:31:05 2025], step 198: train loss, inf, (took 11550.938495 ms)
[Mon Feb 10 04:31:16 2025], step 199: train loss, inf, (took 11300.888122 ms)
[Mon Feb 10 04:31:43 2025], step 200: train loss, 88.720078, (took 11196.217070 ms)
[Mon Feb 10 04:31:54 2025], step 201: train loss, inf, (took 11230.104596 ms)
[Mon Feb 10 04:32:06 2025], step 202: train loss, inf, (took 11254.803946 ms)
[Mon Feb 10 04:32:17 2025], step 203: train loss, inf, (took 11218.837566 ms)
[Mon Feb 10 04:32:28 2025], step 204: train loss, inf, (took 11225.035489 ms)
[Mon Feb 10 04:32:40 2025], step 205: train loss, inf, (took 11270.082633 ms)
[Mon Feb 10 04:32:52 2025], step 206: train loss, inf, (took 11379.695065 ms)
[Mon Feb 10 04:33:03 2025], step 207: train loss, inf, (took 11219.382181 ms)
[Mon Feb 10 04:33:15 2025], step 208: train loss, inf, (took 11261.250792 ms)
[Mon Feb 10 04:33:26 2025], step 209: train loss, inf, (took 11246.981765 ms)
[Mon Feb 10 04:33:54 2025], step 210: train loss, inf, (took 11276.915379 ms)
[Mon Feb 10 04:34:05 2025], step 211: train loss, inf, (took 11224.354084 ms)
[Mon Feb 10 04:34:17 2025], step 212: train loss, 88.757065, (took 11250.916018 ms)
[Mon Feb 10 04:34:28 2025], step 213: train loss, inf, (took 11198.901679 ms)
[Mon Feb 10 04:34:39 2025], step 214: train loss, inf, (took 11206.374940 ms)
[Mon Feb 10 04:34:52 2025], step 215: train loss, inf, (took 11897.972408 ms)
[Mon Feb 10 04:35:04 2025], step 216: train loss, inf, (took 12025.675711 ms)
[Mon Feb 10 04:35:16 2025], step 217: train loss, inf, (took 12276.417880 ms)
[Mon Feb 10 04:35:29 2025], step 218: train loss, inf, (took 11861.745171 ms)
[Mon Feb 10 04:35:41 2025], step 219: train loss, inf, (took 11946.489332 ms)
[Mon Feb 10 04:36:10 2025], step 220: train loss, inf, (took 12012.055629 ms)
[Mon Feb 10 04:36:21 2025], step 221: train loss, inf, (took 11860.492366 ms)
[Mon Feb 10 04:36:34 2025], step 222: train loss, inf, (took 11286.595978 ms)
[Mon Feb 10 04:36:45 2025], step 223: train loss, inf, (took 11230.190771 ms)
[Mon Feb 10 04:36:56 2025], step 224: train loss, inf, (took 11127.572722 ms)
[Mon Feb 10 04:37:08 2025], step 225: train loss, inf, (took 11339.721878 ms)
[Mon Feb 10 04:37:19 2025], step 226: train loss, inf, (took 11194.174899 ms)
[Mon Feb 10 04:37:31 2025], step 227: train loss, inf, (took 11190.474026 ms)
[Mon Feb 10 04:37:43 2025], step 228: train loss, inf, (took 11197.918143 ms)
[Mon Feb 10 04:37:54 2025], step 229: train loss, inf, (took 11153.051808 ms)
[Mon Feb 10 04:38:20 2025], step 230: train loss, inf, (took 11178.659923 ms)
[Mon Feb 10 04:38:32 2025], step 231: train loss, inf, (took 11118.150785 ms)
[Mon Feb 10 04:38:44 2025], step 232: train loss, inf, (took 11218.800445 ms)
[Mon Feb 10 04:38:55 2025], step 233: train loss, inf, (took 11149.588414 ms)
[Mon Feb 10 04:39:06 2025], step 234: train loss, inf, (took 11128.347295 ms)
[Mon Feb 10 04:39:18 2025], step 235: train loss, inf, (took 11529.066294 ms)
[Mon Feb 10 04:39:30 2025], step 236: train loss, 88.313637, (took 11155.226987 ms)
[Mon Feb 10 04:39:41 2025], step 237: train loss, inf, (took 11188.597873 ms)
[Mon Feb 10 04:39:53 2025], step 238: train loss, inf, (took 11383.657905 ms)
[Mon Feb 10 04:40:04 2025], step 239: train loss, inf, (took 10967.653958 ms)
[Mon Feb 10 04:40:31 2025], step 240: train loss, inf, (took 11340.259363 ms)
[Mon Feb 10 04:40:42 2025], step 241: train loss, inf, (took 10996.268816 ms)
[Mon Feb 10 04:40:54 2025], step 242: train loss, inf, (took 11219.348336 ms)
[Mon Feb 10 04:41:05 2025], step 243: train loss, inf, (took 11136.795123 ms)
[Mon Feb 10 04:41:16 2025], step 244: train loss, inf, (took 11262.392566 ms)
[Mon Feb 10 04:41:29 2025], step 245: train loss, inf, (took 11299.199935 ms)
[Mon Feb 10 04:41:40 2025], step 246: train loss, inf, (took 11332.623649 ms)
[Mon Feb 10 04:41:51 2025], step 247: train loss, inf, (took 11035.082882 ms)
[Mon Feb 10 04:42:03 2025], step 248: train loss, inf, (took 11234.182069 ms)
[Mon Feb 10 04:42:14 2025], step 249: train loss, inf, (took 10957.106132 ms)
[Mon Feb 10 04:42:41 2025], step 250: train loss, inf, (took 11368.611370 ms)
[Mon Feb 10 04:42:52 2025], step 251: train loss, inf, (took 11100.113752 ms)
[Mon Feb 10 04:43:03 2025], step 252: train loss, 88.646423, (took 11155.796037 ms)
[Mon Feb 10 04:43:16 2025], step 253: train loss, inf, (took 11424.236446 ms)
[Mon Feb 10 04:43:27 2025], step 254: train loss, inf, (took 11234.260549 ms)
[Mon Feb 10 04:43:38 2025], step 255: train loss, inf, (took 11281.872812 ms)
[Mon Feb 10 04:43:51 2025], step 256: train loss, inf, (took 11269.263240 ms)
[Mon Feb 10 04:44:01 2025], step 257: train loss, inf, (took 10963.990696 ms)
[Mon Feb 10 04:44:14 2025], step 258: train loss, inf, (took 11329.567594 ms)
[Mon Feb 10 04:44:25 2025], step 259: train loss, inf, (took 11251.319776 ms)
[Mon Feb 10 04:44:52 2025], step 260: train loss, inf, (took 11316.040488 ms)
[Mon Feb 10 04:45:03 2025], step 261: train loss, inf, (took 11113.694827 ms)
[Mon Feb 10 04:45:14 2025], step 262: train loss, inf, (took 11522.804243 ms)
[Mon Feb 10 04:45:27 2025], step 263: train loss, inf, (took 11535.543469 ms)
[Mon Feb 10 04:45:38 2025], step 264: train loss, inf, (took 10974.240794 ms)
[Mon Feb 10 04:45:49 2025], step 265: train loss, inf, (took 11199.980989 ms)
[Mon Feb 10 04:46:01 2025], step 266: train loss, 88.733536, (took 11290.256882 ms)
[Mon Feb 10 04:46:12 2025], step 267: train loss, inf, (took 11055.490335 ms)
[Mon Feb 10 04:46:24 2025], step 268: train loss, inf, (took 11291.178495 ms)
[Mon Feb 10 04:46:36 2025], step 269: train loss, inf, (took 11211.967779 ms)
[Mon Feb 10 04:47:02 2025], step 270: train loss, inf, (took 11223.316541 ms)
[Mon Feb 10 04:47:14 2025], step 271: train loss, inf, (took 11110.579023 ms)
[Mon Feb 10 04:47:25 2025], step 272: train loss, inf, (took 11162.066161 ms)
[Mon Feb 10 04:47:37 2025], step 273: train loss, inf, (took 11381.036660 ms)
[Mon Feb 10 04:47:48 2025], step 274: train loss, inf, (took 11000.335738 ms)
[Mon Feb 10 04:47:59 2025], step 275: train loss, inf, (took 11266.200476 ms)
[Mon Feb 10 04:48:11 2025], step 276: train loss, inf, (took 11285.658743 ms)
[Mon Feb 10 04:48:22 2025], step 277: train loss, inf, (took 11004.244617 ms)
[Mon Feb 10 04:48:34 2025], step 278: train loss, inf, (took 11194.865149 ms)
[Mon Feb 10 04:48:46 2025], step 279: train loss, inf, (took 11502.869578 ms)
[Mon Feb 10 04:49:13 2025], step 280: train loss, inf, (took 11425.943405 ms)
[Mon Feb 10 04:49:24 2025], step 281: train loss, inf, (took 10958.925932 ms)
[Mon Feb 10 04:49:35 2025], step 282: train loss, inf, (took 11432.944193 ms)
[Mon Feb 10 04:49:48 2025], step 283: train loss, inf, (took 11436.121874 ms)
[Mon Feb 10 04:49:58 2025], step 284: train loss, inf, (took 10814.825887 ms)
[Mon Feb 10 04:50:10 2025], step 285: train loss, inf, (took 11351.182194 ms)
[Mon Feb 10 04:50:22 2025], step 286: train loss, inf, (took 11412.960051 ms)
[Mon Feb 10 04:50:33 2025], step 287: train loss, inf, (took 10777.215271 ms)
[Mon Feb 10 04:50:44 2025], step 288: train loss, inf, (took 11260.310396 ms)
[Mon Feb 10 04:50:56 2025], step 289: train loss, inf, (took 11146.963639 ms)
[Mon Feb 10 04:51:22 2025], step 290: train loss, inf, (took 11173.967931 ms)
[Mon Feb 10 04:51:34 2025], step 291: train loss, inf, (took 11350.752541 ms)
[Mon Feb 10 04:51:45 2025], step 292: train loss, inf, (took 11146.973949 ms)
[Mon Feb 10 04:51:57 2025], step 293: train loss, inf, (took 11112.406039 ms)
[Mon Feb 10 04:52:09 2025], step 294: train loss, inf, (took 11232.362772 ms)
[Mon Feb 10 04:52:20 2025], step 295: train loss, inf, (took 11208.866309 ms)
[Mon Feb 10 04:52:32 2025], step 296: train loss, inf, (took 11199.283503 ms)
[Mon Feb 10 04:52:43 2025], step 297: train loss, inf, (took 11206.534699 ms)
[Mon Feb 10 04:52:54 2025], step 298: train loss, inf, (took 11203.964219 ms)
[Mon Feb 10 04:53:07 2025], step 299: train loss, inf, (took 11207.822844 ms)
[Mon Feb 10 04:53:32 2025], step 300: train loss, inf, (took 11166.799068 ms)
[Mon Feb 10 04:53:45 2025], step 301: train loss, inf, (took 11435.544690 ms)
[Mon Feb 10 04:53:56 2025], step 302: train loss, inf, (took 11248.005203 ms)
[Mon Feb 10 04:54:07 2025], step 303: train loss, inf, (took 11162.958196 ms)
[Mon Feb 10 04:54:19 2025], step 304: train loss, inf, (took 11268.424396 ms)
[Mon Feb 10 04:54:30 2025], step 305: train loss, inf, (took 11154.376591 ms)
[Mon Feb 10 04:54:42 2025], step 306: train loss, inf, (took 11156.955127 ms)
[Mon Feb 10 04:54:54 2025], step 307: train loss, inf, (took 11251.109670 ms)
[Mon Feb 10 04:55:05 2025], step 308: train loss, inf, (took 11180.826706 ms)
[Mon Feb 10 04:55:17 2025], step 309: train loss, inf, (took 11183.775361 ms)
[Mon Feb 10 04:55:43 2025], step 310: train loss, inf, (took 11482.311493 ms)
[Mon Feb 10 04:55:55 2025], step 311: train loss, inf, (took 11189.658273 ms)
[Mon Feb 10 04:56:06 2025], step 312: train loss, inf, (took 11150.205253 ms)
